time(s),Dist_cmd(m),Dept_cmd(m),AOA_cmd(Deg),SwingAng_cmd(Deg),BoomAng_cmd(Deg),ArmAng_cmd(Deg),BktAng_cmd(Deg),Dist_cur(m),Dept_cur(m),AOA_cur(Deg),SwingAng_cur(Deg),BoomAng_cur(Deg),ArmAng_cur(Deg),BktAng_cur(Deg),excavation state
1716454808.1797483,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.5317472670350165,0.32239300906926144,-169.89999999999998,31.0,34.2,-100.6,-103.5,init_state
1716454808.283499,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.5513321708880214,0.29340033273447774,-169.5,31.7,34.0,-100.3,-103.2,init_state
1716454808.3881907,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.572213892906813,0.2578459160607735,-168.9,32.3,33.8,-100.0,-102.7,init_state
1716454808.4919255,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.60490331820545,0.19995816126414345,-167.2,33.0,33.7,-99.6,-101.3,init_state
1716454808.5946672,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.654329367943154,0.07973840319620762,-163.89999999999998,33.5,33.5,-99.2,-98.2,init_state
1716454808.696398,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.722685656246167,-0.05019453785780026,-159.8,34.0,33.4,-98.7,-94.5,init_state
1716454808.8000882,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.803945723442263,-0.1941131740513402,-155.5,34.5,33.2,-98.2,-90.5,init_state
1716454808.9028144,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.896440579465734,-0.3475177443962888,-150.79999999999998,35.0,33.0,-97.8,-86.0,init_state
1716454809.007534,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.979173554122668,-0.48264740262805295,-146.70000000000002,35.3,32.8,-97.6,-81.9,init_state
1716454809.1132615,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,5.079496600213149,-0.6128592803344841,-141.8,35.5,32.8,-97.5,-77.1,init_state
1716454809.2160056,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,5.175416048314524,-0.7227216630672288,-137.10000000000002,35.7,32.9,-97.6,-72.4,init_state
1716454809.3187313,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,5.305388392822081,-0.8325980343917472,-131.79999999999998,35.8,33.0,-97.5,-67.3,init_state
1716454809.421709,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,5.44772403997589,-0.9480649771585561,-126.30000000000001,35.9,33.0,-97.5,-61.8,init_state
1716454809.5241537,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,5.615847903303228,-1.0693129327684967,-120.3,36.0,32.9,-97.5,-55.7,init_state
1716454809.628906,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,5.7702808132654635,-1.1613502964934186,-115.10000000000002,36.0,32.8,-97.5,-50.4,init_state
1716454809.7316294,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,5.91785855665657,-1.2230834038177822,-110.30000000000001,36.0,32.8,-97.5,-45.6,init_state
1716454809.8383124,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,6.081944498461331,-1.2642853620199763,-105.10000000000001,36.0,32.9,-97.5,-40.5,init_state
1716454809.9510124,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,6.250106054236731,-1.2903099092527484,-99.9,36.0,33.0,-97.5,-35.4,init_state
1716454810.0627613,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,6.428638529900452,-1.312863805935791,-94.5,36.0,33.0,-97.5,-30.0,init_state
1716454810.1654398,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,6.57285407347243,-1.3302227612521518,-90.2,35.9,32.9,-97.5,-25.6,init_state
1716454810.2911026,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,6.716232496710689,-1.3292498067496719,-85.60000000000001,35.9,32.9,-97.7,-20.8,init_state
